App,Package,Start Time,Duration,Filename,,,,
EEG - Group31,com.eeg.group31,"May 3, 2018 @ 06:30:54 PM",31 sec,,,,,
,,,,,,,,
Time  [ms],Battery Power [uW],Time  [ms],Battery Status,,,,,
0,978944,0,0,,,,,
100,978944,44,0,,,,,
150,978944,100,0,,,,,
250,1081872,150,0,,,,,
351,1081872,250,0,,,,,
451,1081872,351,0,,,,,
551,1081872,451,0,,,,,
651,1081872,551,0,,,,,
751,1081872,651,0,,,,,
852,1081872,751,0,,,,,
952,1081872,852,0,,,,,
1052,1081872,952,0,,,,,
1152,1081872,1052,0,,,,,
1252,1278608,1152,0,,,,,
1352,1278608,1252,0,,,,,
1452,1278608,1352,0,,,,,
1553,1278608,1452,0,,,,,
1653,1278608,1553,0,,,,,
1753,1278608,1653,0,,,,,
1853,1278608,1753,0,,,,,
1953,1278608,1853,0,,,,,
2056,1278608,1953,0,,,,,
2159,1278608,2056,0,,,,,
2259,1295896,2160,0,,,,,
2361,1295896,2260,0,,,,,
2463,1295896,2361,0,,,,,
2562,1295896,2464,0,,,,,
2663,1295896,2562,0,,,,,
2766,1295896,2663,0,,,,,
2865,1295896,2766,0,,,,,
2966,1295896,2865,0,,,,,
3065,1295896,2966,0,,,,,
3167,1295896,3065,0,,,,,
3270,741557,3168,0,,,,,
3376,741557,3270,0,,,,,
3473,741557,3377,0,,,,,
3576,741557,3473,0,,,,,
3677,741557,3576,0,,,,,
3784,741557,3678,0,,,,,
3886,741557,3784,0,,,,,
3988,741557,3887,0,,,,,
4087,741557,3989,0,,,,,
4187,741557,4087,0,,,,,
4288,676005,4187,0,,,,,
4389,676005,4288,0,,,,,
4490,676005,4389,0,,,,,
4590,676005,4490,0,,,,,
4694,676005,4591,0,,,,,
4794,676005,4695,0,,,,,
4898,676005,4795,0,,,,,
4997,676005,4898,0,,,,,
5096,676005,4998,0,,,,,
5196,676005,5097,0,,,,,
5297,821687,5196,0,,,,,
5398,821687,5297,0,,,,,
5503,821687,5398,0,,,,,
5600,821687,5504,0,,,,,
5702,821687,5600,0,,,,,
5801,821687,5702,0,,,,,
5902,821687,5801,0,,,,,
6002,821687,5902,0,,,,,
6104,821687,6002,0,,,,,
6205,821687,6104,0,,,,,
6306,907758,6206,0,,,,,
6407,907758,6306,0,,,,,
6511,907758,6408,0,,,,,
6612,907758,6513,0,,,,,
6711,907758,6613,0,,,,,
6813,907758,6712,0,,,,,
6913,907758,6813,0,,,,,
7014,907758,6913,0,,,,,
7115,907758,7014,0,,,,,
7215,907758,7115,0,,,,,
7319,951339,7216,0,,,,,
7418,951339,7320,0,,,,,
7519,951339,7419,0,,,,,
7623,951339,7520,0,,,,,
7725,951339,7624,0,,,,,
7823,951339,7725,0,,,,,
7927,951339,7823,0,,,,,
8025,951339,7927,0,,,,,
8127,951339,8028,0,,,,,
8228,951339,8127,0,,,,,
8329,741194,8229,0,,,,,
8436,741194,8330,0,,,,,
8534,741194,8437,0,,,,,
8637,741194,8538,0,,,,,
8739,741194,8638,0,,,,,
8843,741194,8740,0,,,,,
8950,741194,8843,0,,,,,
9045,741194,8951,0,,,,,
9146,741194,9046,0,,,,,
9248,622288,9147,0,,,,,
9351,622288,9249,0,,,,,
9452,622288,9353,0,,,,,
9556,622288,9453,0,,,,,
9655,622288,9559,0,,,,,
9757,622288,9656,0,,,,,
9858,622288,9758,0,,,,,
9962,622288,9859,0,,,,,
10061,622288,9962,0,,,,,
10162,622288,10061,0,,,,,
10266,564972,10163,0,,,,,
10372,564972,10267,0,,,,,
10464,564972,10372,0,,,,,
10567,564972,10465,0,,,,,
10667,564972,10567,0,,,,,
10768,564972,10667,0,,,,,
10877,564972,10768,0,,,,,
10969,564972,10877,0,,,,,
11071,564972,10970,0,,,,,
11172,564972,11071,0,,,,,
11270,947256,11172,0,,,,,
11372,947256,11270,0,,,,,
11475,947256,11373,0,,,,,
11576,947256,11475,0,,,,,
11675,947256,11576,0,,,,,
11776,947256,11675,0,,,,,
11878,947256,11776,0,,,,,
11980,947256,11879,0,,,,,
12079,947256,11980,0,,,,,
12179,947256,12079,0,,,,,
12281,826988,12179,0,,,,,
12382,826988,12283,0,,,,,
12484,826988,12383,0,,,,,
12584,826988,12484,0,,,,,
12686,826988,12585,0,,,,,
12787,826988,12686,0,,,,,
12888,826988,12788,0,,,,,
12989,826988,12889,0,,,,,
13087,826988,12990,0,,,,,
13191,826988,13087,0,,,,,
13291,634724,13191,0,,,,,
13392,634724,13291,0,,,,,
13491,634724,13392,0,,,,,
13592,634724,13491,0,,,,,
13694,634724,13593,0,,,,,
13796,634724,13694,0,,,,,
13895,634724,13796,0,,,,,
13996,634724,13895,0,,,,,
14098,634724,13997,0,,,,,
14199,634724,14098,0,,,,,
14300,740109,14199,0,,,,,
14350,740109,14300,0,,,,,
14451,740109,14351,0,,,,,
14551,740109,14451,0,,,,,
14652,740109,14551,0,,,,,
14753,740109,14652,0,,,,,
14857,740109,14753,0,,,,,
14955,740109,14858,0,,,,,
15056,740109,14955,0,,,,,
15156,740109,15057,0,,,,,
15257,703308,15156,0,,,,,
15359,703308,15257,0,,,,,
15459,703308,15359,0,,,,,
15559,703308,15459,0,,,,,
15660,703308,15560,0,,,,,
15759,703308,15660,0,,,,,
15860,703308,15760,0,,,,,
15963,703308,15860,0,,,,,
16062,703308,15964,0,,,,,
16164,703308,16062,0,,,,,
16268,945252,16164,0,,,,,
16373,945252,16268,0,,,,,
16473,945252,16373,0,,,,,
16572,945252,16473,0,,,,,
16676,945252,16573,0,,,,,
16780,945252,16676,0,,,,,
16879,945252,16781,0,,,,,
16980,945252,16880,0,,,,,
17080,945252,16980,0,,,,,
17181,945252,17080,0,,,,,
17284,1073829,17181,0,,,,,
17383,1073829,17285,0,,,,,
17485,1073829,17383,0,,,,,
17587,1073829,17485,0,,,,,
17686,1073829,17588,0,,,,,
17786,1073829,17686,0,,,,,
17887,1073829,17786,0,,,,,
17989,1073829,17887,0,,,,,
18088,1073829,17989,0,,,,,
18190,1073829,18089,0,,,,,
18291,867716,18190,0,,,,,
18391,867716,18291,0,,,,,
18492,867716,18391,0,,,,,
18593,867716,18492,0,,,,,
18694,867716,18593,0,,,,,
18795,867716,18695,0,,,,,
18897,867716,18795,0,,,,,
18996,867716,18897,0,,,,,
19099,867716,18996,0,,,,,
19198,867716,19099,0,,,,,
19300,785088,19198,0,,,,,
19400,785088,19300,0,,,,,
19502,785088,19401,0,,,,,
19603,785088,19502,0,,,,,
19703,785088,19603,0,,,,,
19804,785088,19703,0,,,,,
19904,785088,19804,0,,,,,
20004,785088,19904,0,,,,,
20105,785088,20004,0,,,,,
20208,785088,20106,0,,,,,
20307,773766,20208,0,,,,,
20409,773766,20307,0,,,,,
20508,773766,20410,0,,,,,
20609,773766,20508,0,,,,,
20714,773766,20610,0,,,,,
20812,773766,20715,0,,,,,
20915,773766,20812,0,,,,,
21014,773766,20915,0,,,,,
21117,773766,21015,0,,,,,
21217,858900,21117,0,,,,,
21318,858900,21218,0,,,,,
21418,858900,21318,0,,,,,
21519,858900,21418,0,,,,,
21621,858900,21520,0,,,,,
21721,858900,21622,0,,,,,
21821,858900,21722,0,,,,,
21922,858900,21822,0,,,,,
22024,858900,21923,0,,,,,
22123,858900,22024,0,,,,,
22223,690872,22123,0,,,,,
22324,690872,22223,0,,,,,
22424,690872,22324,0,,,,,
22525,690872,22424,0,,,,,
22626,690872,22526,0,,,,,
22726,690872,22626,0,,,,,
22827,690872,22726,0,,,,,
22931,690872,22827,0,,,,,
23030,690872,22931,0,,,,,
23130,690872,23031,0,,,,,
23231,878919,23130,0,,,,,
23332,878919,23231,0,,,,,
23432,878919,23332,0,,,,,
23532,878919,23432,0,,,,,
23634,878919,23532,0,,,,,
23734,878919,23635,0,,,,,
23834,878919,23735,0,,,,,
23936,878919,23835,0,,,,,
24037,878919,23936,0,,,,,
24136,878919,24037,0,,,,,
24238,720192,24137,0,,,,,
24338,720192,24238,0,,,,,
24441,720192,24339,0,,,,,
24541,720192,24441,0,,,,,
24642,720192,24541,0,,,,,
24743,720192,24642,0,,,,,
24843,720192,24743,0,,,,,
24945,720192,24844,0,,,,,
25045,720192,24945,0,,,,,
25148,720192,25045,0,,,,,
25249,618344,25148,0,,,,,
25347,618344,25249,0,,,,,
25450,618344,25348,0,,,,,
25550,618344,25450,0,,,,,
25652,618344,25550,0,,,,,
25755,618344,25653,0,,,,,
25853,618344,25755,0,,,,,
25958,618344,25854,0,,,,,
26059,618344,25959,0,,,,,
26160,618344,26059,0,,,,,
26261,626229,26160,0,,,,,
26363,626229,26261,0,,,,,
26463,626229,26364,0,,,,,
26516,626229,26463,0,,,,,
26615,626229,26516,0,,,,,
26715,626229,26615,0,,,,,
26816,626229,26715,0,,,,,
26917,626229,26817,0,,,,,
27028,626229,26917,0,,,,,
27120,626229,27029,0,,,,,
27228,822291,27120,0,,,,,
27323,822291,27228,0,,,,,
27430,822291,27323,0,,,,,
27528,822291,27431,0,,,,,
27631,822291,27528,0,,,,,
27729,822291,27631,0,,,,,
27829,822291,27730,0,,,,,
27931,822291,27829,0,,,,,
28031,822291,27931,0,,,,,
28131,822291,28031,0,,,,,
28233,1174404,28132,0,,,,,
28335,1174404,28234,0,,,,,
28436,1174404,28335,0,,,,,
28539,1174404,28437,0,,,,,
28640,1174404,28539,0,,,,,
28743,1174404,28640,0,,,,,
28846,1174404,28744,0,,,,,
28945,1174404,28846,0,,,,,
29047,1174404,28945,0,,,,,
29149,1174404,29047,0,,,,,
29249,671416,29149,0,,,,,
29353,671416,29250,0,,,,,
29451,671416,29353,0,,,,,
29553,671416,29452,0,,,,,
29656,671416,29553,0,,,,,
29755,671416,29657,0,,,,,
29857,671416,29755,0,,,,,
29956,671416,29858,0,,,,,
30057,671416,29957,0,,,,,
30158,671416,30057,0,,,,,
30258,761484,30159,0,,,,,
30359,761484,30259,0,,,,,
30460,761484,30359,0,,,,,
30561,761484,30460,0,,,,,
30662,761484,30561,0,,,,,
30763,761484,30663,0,,,,,
30866,761484,30763,0,,,,,
30965,761484,30866,0,,,,,
31065,761484,30965,0,,,,,
31167,761484,31065,0,,,,,
31267,899580,31168,0,,,,,
31369,899580,31267,0,,,,,
31468,899580,31369,0,,,,,
