App,Package,Start Time,Duration,Filename,,,,
EEG - Group31,com.eeg.group31,"May 3, 2018 @ 06:32:05 PM",31 sec,,,,,
,,,,,,,,
Time  [ms],Battery Power [uW],Time  [ms],Battery Status,,,,,
0,894177,0,0,,,,,
101,894177,33,0,,,,,
201,1026841,101,0,,,,,
301,1026841,201,0,,,,,
401,1026841,301,0,,,,,
501,1026841,401,0,,,,,
551,1026841,501,0,,,,,
651,1026841,552,0,,,,,
752,1026841,652,0,,,,,
852,1026841,752,0,,,,,
952,1026841,852,0,,,,,
1052,1026841,952,0,,,,,
1152,1533924,1052,0,,,,,
1253,1533924,1152,0,,,,,
1354,1533924,1253,0,,,,,
1453,1533924,1354,0,,,,,
1553,1533924,1453,0,,,,,
1653,1533924,1553,0,,,,,
1754,1533924,1653,0,,,,,
1854,1533924,1754,0,,,,,
1954,1533924,1854,0,,,,,
2057,1533924,1954,0,,,,,
2212,1473963,2057,0,,,,,
2310,1473963,2213,0,,,,,
2411,1473963,2310,0,,,,,
2462,1473963,2411,0,,,,,
2562,1473963,2463,0,,,,,
2664,1473963,2562,0,,,,,
2813,1473963,2665,0,,,,,
2913,1473963,2814,0,,,,,
2964,1473963,2913,0,,,,,
3064,1473963,2964,0,,,,,
3164,814507,3065,0,,,,,
3265,814507,3164,0,,,,,
3367,814507,3265,0,,,,,
3468,814507,3367,0,,,,,
3569,814507,3469,0,,,,,
3670,814507,3570,0,,,,,
3773,814507,3670,0,,,,,
3874,814507,3774,0,,,,,
3977,814507,3874,0,,,,,
4083,814507,3978,0,,,,,
4182,827022,4084,0,,,,,
4282,827022,4182,0,,,,,
4381,827022,4282,0,,,,,
4484,827022,4382,0,,,,,
4585,827022,4485,0,,,,,
4685,827022,4586,0,,,,,
4784,827022,4685,0,,,,,
4888,827022,4784,0,,,,,
4991,827022,4889,0,,,,,
5090,827022,4991,0,,,,,
5190,760926,5091,0,,,,,
5292,760926,5190,0,,,,,
5390,760926,5292,0,,,,,
5490,760926,5391,0,,,,,
5594,760926,5491,0,,,,,
5695,760926,5594,0,,,,,
5798,760926,5696,0,,,,,
5897,760926,5799,0,,,,,
6001,760926,5899,0,,,,,
6099,799680,6002,0,,,,,
6200,799680,6099,0,,,,,
6310,799680,6200,0,,,,,
6411,799680,6310,0,,,,,
6512,799680,6412,0,,,,,
6614,799680,6513,0,,,,,
6717,799680,6614,0,,,,,
6822,799680,6718,0,,,,,
6917,799680,6822,0,,,,,
7018,799680,6918,0,,,,,
7119,597724,7018,0,,,,,
7219,597724,7119,0,,,,,
7319,597724,7219,0,,,,,
7422,597724,7319,0,,,,,
7522,597724,7425,0,,,,,
7625,597724,7523,0,,,,,
7725,597724,7626,0,,,,,
7833,597724,7725,0,,,,,
7929,597724,7834,0,,,,,
8029,597724,7929,0,,,,,
8134,690534,8030,0,,,,,
8236,690534,8135,0,,,,,
8343,690534,8238,0,,,,,
8443,690534,8343,0,,,,,
8540,690534,8444,0,,,,,
8643,690534,8540,0,,,,,
8743,690534,8643,0,,,,,
8846,690534,8744,0,,,,,
8896,690534,8848,0,,,,,
8997,690534,8897,0,,,,,
9098,786239,8998,0,,,,,
9198,786239,9099,0,,,,,
9301,786239,9199,0,,,,,
9403,786239,9301,0,,,,,
9504,786239,9404,0,,,,,
9605,786239,9505,0,,,,,
9707,786239,9606,0,,,,,
9812,786239,9708,0,,,,,
9913,786239,9813,0,,,,,
10014,786239,9914,0,,,,,
10116,491279,10015,0,,,,,
10221,491279,10116,0,,,,,
10323,491279,10222,0,,,,,
10426,491279,10324,0,,,,,
10531,491279,10428,0,,,,,
10630,491279,10532,0,,,,,
10730,491279,10631,0,,,,,
10832,491279,10730,0,,,,,
10932,491279,10832,0,,,,,
11040,491279,10933,0,,,,,
11146,593920,11041,0,,,,,
11249,593920,11147,0,,,,,
11347,593920,11249,0,,,,,
11449,593920,11348,0,,,,,
11554,593920,11450,0,,,,,
11662,593920,11555,0,,,,,
11758,593920,11662,0,,,,,
11859,593920,11758,0,,,,,
11958,593920,11859,0,,,,,
12060,593920,11958,0,,,,,
12161,696320,12060,0,,,,,
12261,696320,12162,0,,,,,
12370,696320,12261,0,,,,,
12465,696320,12370,0,,,,,
12567,696320,12465,0,,,,,
12666,696320,12567,0,,,,,
12766,696320,12667,0,,,,,
12867,696320,12767,0,,,,,
12968,696320,12867,0,,,,,
13070,696320,12969,0,,,,,
13169,972943,13070,0,,,,,
13271,972943,13170,0,,,,,
13373,972943,13271,0,,,,,
13475,972943,13374,0,,,,,
13574,972943,13475,0,,,,,
13677,972943,13574,0,,,,,
13777,972943,13677,0,,,,,
13878,972943,13778,0,,,,,
13979,972943,13879,0,,,,,
14080,972943,13979,0,,,,,
14181,724638,14080,0,,,,,
14281,724638,14181,0,,,,,
14382,724638,14282,0,,,,,
14482,724638,14382,0,,,,,
14544,724638,14483,0,,,,,
14640,724638,14545,0,,,,,
14745,724638,14640,0,,,,,
14844,724638,14745,0,,,,,
14942,724638,14844,0,,,,,
15042,724638,14942,0,,,,,
15144,622439,15042,0,,,,,
15246,622439,15144,0,,,,,
15346,622439,15246,0,,,,,
15452,622439,15347,0,,,,,
15553,622439,15453,0,,,,,
15651,622439,15553,0,,,,,
15753,622439,15651,0,,,,,
15852,622439,15754,0,,,,,
15960,622439,15852,0,,,,,
16054,622439,15961,0,,,,,
16155,801052,16054,0,,,,,
16261,801052,16156,0,,,,,
16358,801052,16261,0,,,,,
16459,801052,16358,0,,,,,
16560,801052,16459,0,,,,,
16661,801052,16560,0,,,,,
16764,801052,16661,0,,,,,
16863,801052,16765,0,,,,,
16965,801052,16863,0,,,,,
17066,801052,16966,0,,,,,
17168,699732,17066,0,,,,,
17267,699732,17169,0,,,,,
17371,699732,17267,0,,,,,
17471,699732,17371,0,,,,,
17577,699732,17471,0,,,,,
17676,699732,17578,0,,,,,
17774,699732,17677,0,,,,,
