App,Package,Start Time,Duration,Filename,,,,
EEG - Group31,com.eeg.group31,"May 3, 2018 @ 06:28:03 PM",25 sec,,,,,
,,,,,,,,
Time  [ms],Battery Power [uW],Time  [ms],Battery Status,,,,,
0,650628,0,0,,,,,
151,650628,86,0,,,,,
252,650628,151,0,,,,,
351,650628,252,0,,,,,
451,650628,351,0,,,,,
551,650628,451,0,,,,,
652,650628,551,0,,,,,
752,650628,652,0,,,,,
852,650628,752,0,,,,,
952,1639356,852,0,,,,,
1052,1639356,952,0,,,,,
1153,1639356,1053,0,,,,,
1253,1639356,1153,0,,,,,
1353,1639356,1253,0,,,,,
1453,1639356,1353,0,,,,,
1503,1639356,1453,0,,,,,
1603,1639356,1503,0,,,,,
1704,1639356,1603,0,,,,,
1804,1639356,1704,0,,,,,
1904,1219416,1804,0,,,,,
2004,1219416,1904,0,,,,,
2110,1219416,2004,0,,,,,
2212,1219416,2110,0,,,,,
2313,1219416,2213,0,,,,,
2414,1219416,2314,0,,,,,
2518,1219416,2415,0,,,,,
2615,1219416,2519,0,,,,,
2716,1219416,2615,0,,,,,
2817,1219416,2717,0,,,,,
2918,890748,2817,0,,,,,
3018,890748,2919,0,,,,,
3120,890748,3018,0,,,,,
3223,890748,3120,0,,,,,
3328,890748,3223,0,,,,,
3424,890748,3329,0,,,,,
3526,890748,3424,0,,,,,
3628,890748,3526,0,,,,,
3731,890748,3628,0,,,,,
3831,890748,3731,0,,,,,
3940,880210,3831,0,,,,,
4042,880210,3941,0,,,,,
4145,880210,4043,0,,,,,
4249,880210,4146,0,,,,,
4350,880210,4250,0,,,,,
4453,880210,4351,0,,,,,
4550,880210,4454,0,,,,,
4652,880210,4551,0,,,,,
4752,880210,4652,0,,,,,
4853,880210,4753,0,,,,,
4953,708954,4853,0,,,,,
5055,708954,4953,0,,,,,
5162,708954,5056,0,,,,,
5261,708954,5162,0,,,,,
5366,708954,5261,0,,,,,
5467,708954,5368,0,,,,,
5571,708954,5468,0,,,,,
5668,708954,5572,0,,,,,
5768,708954,5669,0,,,,,
5871,700244,5769,0,,,,,
5972,700244,5871,0,,,,,
6073,700244,5973,0,,,,,
6175,700244,6074,0,,,,,
6280,700244,6176,0,,,,,
6385,700244,6280,0,,,,,
6437,700244,6386,0,,,,,
6535,700244,6437,0,,,,,
6635,700244,6536,0,,,,,
6739,700244,6636,0,,,,,
6839,700244,6740,0,,,,,
6942,601671,6840,0,,,,,
7039,601671,6944,0,,,,,
7141,601671,7039,0,,,,,
7245,601671,7142,0,,,,,
7353,601671,7245,0,,,,,
7450,601671,7354,0,,,,,
7551,601671,7455,0,,,,,
7653,601671,7552,0,,,,,
7753,601671,7654,0,,,,,
7852,601671,7754,0,,,,,
7955,637728,7853,0,,,,,
8055,637728,7956,0,,,,,
8155,637728,8056,0,,,,,
8254,637728,8155,0,,,,,
8358,637728,8254,0,,,,,
8458,637728,8358,0,,,,,
8560,637728,8459,0,,,,,
8659,637728,8561,0,,,,,
8761,637728,8659,0,,,,,
8862,889483,8761,0,,,,,
