App,Package,Start Time,Duration,Filename,,,,
EEG - Group31,com.eeg.group31,"May 3, 2018 @ 06:24:56 PM",32 sec,,,,,
,,,,,,,,
Time  [ms],Battery Power [uW],Time  [ms],Battery Status,,,,,
0,747292,0,0,,,,,
100,948947,35,0,,,,,
200,948947,43,0,,,,,
300,948947,100,0,,,,,
400,948947,201,0,,,,,
501,948947,301,0,,,,,
551,948947,400,0,,,,,
651,948947,501,0,,,,,
751,948947,551,0,,,,,
851,948947,651,0,,,,,
952,948947,751,0,,,,,
1052,948947,851,0,,,,,
1152,1597008,952,0,,,,,
1252,1597008,1052,0,,,,,
1352,1597008,1152,0,,,,,
1452,1597008,1252,0,,,,,
1553,1597008,1352,0,,,,,
1653,1597008,1452,0,,,,,
1753,1597008,1553,0,,,,,
1853,1597008,1653,0,,,,,
1953,1597008,1753,0,,,,,
2058,1597008,1853,0,,,,,
2159,1400489,1953,0,,,,,
2260,1400489,2059,0,,,,,
2367,1400489,2159,0,,,,,
2467,1400489,2260,0,,,,,
2568,1400489,2368,0,,,,,
2668,1400489,2467,0,,,,,
2772,1400489,2569,0,,,,,
2871,1400489,2669,0,,,,,
2971,1400489,2773,0,,,,,
3077,1400489,2872,0,,,,,
3172,550204,2972,0,,,,,
3275,550204,3078,0,,,,,
3376,550204,3172,0,,,,,
3475,550204,3276,0,,,,,
3577,550204,3376,0,,,,,
3685,550204,3475,0,,,,,
3788,550204,3577,0,,,,,
3887,550204,3686,0,,,,,
3986,550204,3789,0,,,,,
4089,550204,3887,0,,,,,
4189,786624,3987,0,,,,,
4290,786624,4090,0,,,,,
4391,786624,4190,0,,,,,
4491,786624,4290,0,,,,,
4591,786624,4391,0,,,,,
4695,786624,4492,0,,,,,
4794,786624,4591,0,,,,,
4896,786624,4696,0,,,,,
4997,786624,4795,0,,,,,
5099,1391256,4897,0,,,,,
5198,1391256,4997,0,,,,,
5301,1391256,5099,0,,,,,
5401,1391256,5199,0,,,,,
5502,1391256,5302,0,,,,,
5603,1391256,5401,0,,,,,
5709,1391256,5505,0,,,,,
5810,1391256,5603,0,,,,,
5909,1391256,5709,0,,,,,
6013,1391256,5811,0,,,,,
6116,971515,5909,0,,,,,
6219,971515,6013,0,,,,,
6326,971515,6117,0,,,,,
6426,971515,6220,0,,,,,
6525,971515,6326,0,,,,,
6627,971515,6426,0,,,,,
6729,971515,6526,0,,,,,
6831,971515,6628,0,,,,,
6930,971515,6730,0,,,,,
7031,971515,6831,0,,,,,
7134,500932,6931,0,,,,,
7241,500932,7032,0,,,,,
7338,500932,7135,0,,,,,
7439,500932,7244,0,,,,,
7542,500932,7338,0,,,,,
7642,500932,7439,0,,,,,
7741,500932,7545,0,,,,,
7841,500932,7642,0,,,,,
7944,500932,7742,0,,,,,
8044,500932,7841,0,,,,,
8145,854048,7945,0,,,,,
8247,854048,8044,0,,,,,
8347,854048,8145,0,,,,,
8446,854048,8248,0,,,,,
8547,854048,8348,0,,,,,
8649,854048,8447,0,,,,,
8749,854048,8547,0,,,,,
8850,854048,8649,0,,,,,
8951,854048,8750,0,,,,,
9052,854048,8851,0,,,,,
9153,1029350,8952,0,,,,,
9253,1029350,9053,0,,,,,
9353,1029350,9154,0,,,,,
9455,1029350,9254,0,,,,,
9556,1029350,9353,0,,,,,
9656,1029350,9455,0,,,,,
9756,1029350,9556,0,,,,,
9856,1029350,9656,0,,,,,
9958,1029350,9756,0,,,,,
10057,1029350,9857,0,,,,,
10159,778810,9959,0,,,,,
10260,778810,10058,0,,,,,
10363,778810,10160,0,,,,,
10460,778810,10260,0,,,,,
10565,778810,10365,0,,,,,
10662,778810,10461,0,,,,,
10768,778810,10565,0,,,,,
10867,778810,10662,0,,,,,
10917,778810,10768,0,,,,,
11017,778810,10867,0,,,,,
11119,795788,10918,0,,,,,
11219,795788,11018,0,,,,,
11326,795788,11119,0,,,,,
11421,795788,11219,0,,,,,
11524,795788,11327,0,,,,,
11625,795788,11422,0,,,,,
11725,795788,11525,0,,,,,
11824,795788,11625,0,,,,,
11929,795788,11725,0,,,,,
12029,795788,11825,0,,,,,
12127,726231,11929,0,,,,,
12228,726231,12029,0,,,,,
12330,726231,12128,0,,,,,
12434,726231,12228,0,,,,,
12533,726231,12331,0,,,,,
12640,726231,12434,0,,,,,
12734,726231,12533,0,,,,,
12836,726231,12641,0,,,,,
12937,726231,12735,0,,,,,
13036,726231,12837,0,,,,,
13139,996542,12937,0,,,,,
13239,996542,13037,0,,,,,
13340,996542,13139,0,,,,,
13440,996542,13239,0,,,,,
13541,996542,13340,0,,,,,
13642,996542,13440,0,,,,,
13741,996542,13542,0,,,,,
13842,996542,13642,0,,,,,
13943,996542,13742,0,,,,,
14043,996542,13842,0,,,,,
14147,738000,13944,0,,,,,
14244,738000,14043,0,,,,,
14345,738000,14148,0,,,,,
14448,738000,14244,0,,,,,
14548,738000,14345,0,,,,,
14650,738000,14449,0,,,,,
14752,738000,14549,0,,,,,
14854,738000,14651,0,,,,,
14955,738000,14752,0,,,,,
15054,738000,14854,0,,,,,
15155,875260,14955,0,,,,,
15258,875260,15055,0,,,,,
15358,875260,15155,0,,,,,
15457,875260,15258,0,,,,,
15562,875260,15359,0,,,,,
15666,875260,15457,0,,,,,
15764,875260,15562,0,,,,,
15863,875260,15667,0,,,,,
15967,875260,15766,0,,,,,
16070,875260,15864,0,,,,,
16167,763344,15968,0,,,,,
16268,763344,16071,0,,,,,
16371,763344,16167,0,,,,,
16470,763344,16269,0,,,,,
16571,763344,16371,0,,,,,
16674,763344,16471,0,,,,,
16776,763344,16571,0,,,,,
16877,763344,16675,0,,,,,
16976,763344,16776,0,,,,,
17079,763344,16877,0,,,,,
17182,856691,16976,0,,,,,
17281,856691,17079,0,,,,,
17383,856691,17183,0,,,,,
17484,856691,17281,0,,,,,
17584,856691,17384,0,,,,,
17685,856691,17484,0,,,,,
17785,856691,17584,0,,,,,
17885,856691,17685,0,,,,,
17987,856691,17786,0,,,,,
18088,685034,17886,0,,,,,
18189,685034,17987,0,,,,,
18290,685034,18088,0,,,,,
18390,685034,18189,0,,,,,
18490,685034,18290,0,,,,,
18590,685034,18391,0,,,,,
18694,685034,18491,0,,,,,
18795,685034,18591,0,,,,,
18895,685034,18695,0,,,,,
18998,685034,18795,0,,,,,
19100,830879,18895,0,,,,,
19203,830879,18999,0,,,,,
19303,830879,19100,0,,,,,
19404,830879,19204,0,,,,,
19508,830879,19304,0,,,,,
19608,830879,19404,0,,,,,
19711,830879,19509,0,,,,,
19809,830879,19609,0,,,,,
19913,830879,19711,0,,,,,
20016,830879,19810,0,,,,,
20116,594935,19913,0,,,,,
20215,594935,20017,0,,,,,
20316,594935,20118,0,,,,,
20416,594935,20215,0,,,,,
20517,594935,20316,0,,,,,
20618,594935,20417,0,,,,,
20719,594935,20517,0,,,,,
20820,594935,20619,0,,,,,
20923,594935,20720,0,,,,,
21022,594935,20820,0,,,,,
21123,644171,20923,0,,,,,
21224,644171,21022,0,,,,,
21325,644171,21123,0,,,,,
21426,644171,21224,0,,,,,
21528,644171,21325,0,,,,,
21629,644171,21426,0,,,,,
21679,644171,21529,0,,,,,
21781,644171,21630,0,,,,,
21883,644171,21679,0,,,,,
21983,644171,21784,0,,,,,
22085,843982,21883,0,,,,,
22185,843982,21984,0,,,,,
22286,843982,22086,0,,,,,
22387,843982,22185,0,,,,,
22487,843982,22287,0,,,,,
22587,843982,22387,0,,,,,
22688,843982,22488,0,,,,,
22788,843982,22587,0,,,,,
22889,843982,22688,0,,,,,
22990,843982,22789,0,,,,,
23091,831894,22890,0,,,,,
23191,831894,22990,0,,,,,
23293,831894,23091,0,,,,,
