App,Package,Start Time,Duration,Filename,,,,
EEG - Group31,com.eeg.group31,"May 3, 2018 @ 06:25:44 PM",33 sec,,,,,
,,,,,,,,
Time  [ms],Battery Power [uW],Time  [ms],Battery Status,,,,,
0,574280,1,0,,,,,
101,574280,78,0,,,,,
201,574280,101,0,,,,,
301,574280,201,0,,,,,
402,574280,301,0,,,,,
502,574280,402,0,,,,,
602,574280,502,0,,,,,
702,1587474,602,0,,,,,
802,1587474,702,0,,,,,
902,1587474,802,0,,,,,
1002,1587474,902,0,,,,,
1103,1587474,1003,0,,,,,
1203,1587474,1103,0,,,,,
1303,1587474,1203,0,,,,,
1403,1587474,1303,0,,,,,
1503,1587474,1403,0,,,,,
1604,1587474,1504,0,,,,,
1704,1285516,1604,0,,,,,
1804,1285516,1704,0,,,,,
1904,1285516,1804,0,,,,,
2004,1285516,1904,0,,,,,
2111,1285516,2005,0,,,,,
2214,1285516,2111,0,,,,,
2314,1285516,2216,0,,,,,
2417,1285516,2315,0,,,,,
2514,1285516,2417,0,,,,,
2614,1285516,2516,0,,,,,
2717,967908,2615,0,,,,,
2819,967908,2717,0,,,,,
2923,967908,2820,0,,,,,
3021,967908,2924,0,,,,,
3123,967908,3021,0,,,,,
3228,967908,3123,0,,,,,
3330,967908,3229,0,,,,,
3429,967908,3331,0,,,,,
3530,967908,3430,0,,,,,
3630,967908,3531,0,,,,,
3732,924114,3630,0,,,,,
3833,924114,3733,0,,,,,
3934,924114,3834,0,,,,,
4033,924114,3935,0,,,,,
4135,924114,4033,0,,,,,
4240,924114,4135,0,,,,,
4342,924114,4241,0,,,,,
4440,924114,4342,0,,,,,
4543,924114,4440,0,,,,,
4651,924114,4544,0,,,,,
4741,716975,4651,0,,,,,
4843,716975,4741,0,,,,,
4942,716975,4843,0,,,,,
5043,716975,4942,0,,,,,
5146,716975,5043,0,,,,,
5248,716975,5147,0,,,,,
5349,716975,5249,0,,,,,
5450,716975,5351,0,,,,,
5549,716975,5451,0,,,,,
5652,716975,5549,0,,,,,
5752,716975,5653,0,,,,,
5859,716975,5753,0,,,,,
5957,716975,5860,0,,,,,
6056,716975,5957,0,,,,,
6158,716975,6056,0,,,,,
6257,716975,6159,0,,,,,
6359,716975,6258,0,,,,,
6460,716975,6359,0,,,,,
6561,716975,6461,0,,,,,
6661,1144737,6561,0,,,,,
6762,1144737,6662,0,,,,,
6864,1144737,6763,0,,,,,
6963,1144737,6865,0,,,,,
7067,1144737,6963,0,,,,,
7171,1144737,7068,0,,,,,
7269,1144737,7171,0,,,,,
7370,1144737,7270,0,,,,,
7473,1144737,7371,0,,,,,
7577,1144737,7474,0,,,,,
7682,721776,7578,0,,,,,
7783,721776,7683,0,,,,,
7891,721776,7784,0,,,,,
7991,721776,7892,0,,,,,
8091,721776,7992,0,,,,,
8197,721776,8092,0,,,,,
8290,721776,8197,0,,,,,
8393,721776,8290,0,,,,,
8492,721776,8393,0,,,,,
8595,721776,8492,0,,,,,
8694,984960,8596,0,,,,,
8796,984960,8694,0,,,,,
